Participant card No: 45
Clear time: 2026-09-16 11:17:26
Record count 18
 Start - 2026-09-19 10:48:10
    55 - 2026-09-19 11:01:01
    50 - 2026-09-19 11:15:37
    72 - 2026-09-19 11:25:01
    35 - 2026-09-19 11:39:32
    53 - 2026-09-19 11:49:02
    33 - 2026-09-19 12:00:20
    32 - 2026-09-19 12:06:51
    40 - 2026-09-19 12:16:39
    46 - 2026-09-19 12:42:30
    64 - 2026-09-19 13:07:06
    31 - 2026-09-19 13:23:30
    71 - 2026-09-19 13:40:06
    54 - 2026-09-19 13:57:42
    52 - 2026-09-19 14:10:04
    60 - 2026-09-19 14:37:01
    41 - 2026-09-19 14:55:14
Finish - 2026-09-19 15:10:47
