Participant card No: 19
Clear time: 2026-09-16 11:23:54
Record count 15
 Start - 2026-09-19 10:56:42
    32 - 2026-09-19 11:06:20
    41 - 2026-09-19 11:15:06
    44 - 2026-09-19 11:23:52
    61 - 2026-09-19 11:39:32
    51 - 2026-09-19 11:55:38
    70 - 2026-09-19 12:06:07
    42 - 2026-09-19 12:20:05
    30 - 2026-09-19 12:25:40
    52 - 2026-09-19 12:35:50
    60 - 2026-09-19 12:47:55
    46 - 2026-09-19 12:57:23
    40 - 2026-09-19 13:16:41
    33 - 2026-09-19 13:32:45
Finish - 2026-09-19 14:07:41
