Participant card No: 29
Clear time: 2026-09-16 11:19:38
Record count 21
 Start - 2026-09-19 11:51:23
    62 - 2026-09-19 12:07:17
    45 - 2026-09-19 12:24:04
    34 - 2026-09-19 12:34:10
    36 - 2026-09-19 12:41:54
    63 - 2026-09-19 12:50:13
    70 - 2026-09-19 13:03:32
    51 - 2026-09-19 13:19:42
    42 - 2026-09-19 13:30:24
    30 - 2026-09-19 13:36:36
    43 - 2026-09-19 13:51:08
    71 - 2026-09-19 14:03:31
    54 - 2026-09-19 14:22:12
    46 - 2026-09-19 14:31:34
    60 - 2026-09-19 14:54:25
    41 - 2026-09-19 15:05:35
    32 - 2026-09-19 15:15:52
    33 - 2026-09-19 15:22:06
    53 - 2026-09-19 15:31:48
    55 - 2026-09-19 15:41:04
Finish - 2026-09-19 15:48:53
