Participant card No: 49
Clear time: 2026-09-16 11:16:08
Record count 19
 Start - 2026-09-19 11:57:24
    55 - 2026-09-19 12:10:47
    50 - 2026-09-19 12:23:13
    72 - 2026-09-19 12:35:32
    35 - 2026-09-19 12:48:01
    53 - 2026-09-19 12:56:25
    40 - 2026-09-19 13:17:15
    46 - 2026-09-19 13:31:38
    54 - 2026-09-19 13:39:30
    71 - 2026-09-19 13:53:46
    43 - 2026-09-19 14:08:19
    42 - 2026-09-19 14:26:46
    30 - 2026-09-19 14:33:13
    51 - 2026-09-19 14:44:43
    61 - 2026-09-19 15:11:08
    41 - 2026-09-19 15:27:25
    32 - 2026-09-19 15:37:08
    33 - 2026-09-19 15:46:42
Finish - 2026-09-19 15:56:01
