Participant card No: 21
Clear time: 2026-09-16 11:21:55
Record count 30
 Start - 2026-09-19 11:56:40
    55 - 2026-09-19 12:02:57
    50 - 2026-09-19 12:14:28
    72 - 2026-09-19 12:21:27
    35 - 2026-09-19 12:29:48
    53 - 2026-09-19 12:34:12
    33 - 2026-09-19 12:41:37
    32 - 2026-09-19 12:45:52
    40 - 2026-09-19 12:52:38
    46 - 2026-09-19 13:01:39
    60 - 2026-09-19 13:08:28
    52 - 2026-09-19 13:15:08
    54 - 2026-09-19 13:23:25
    64 - 2026-09-19 13:41:26
    31 - 2026-09-19 13:48:23
    71 - 2026-09-19 13:56:06
    43 - 2026-09-19 14:03:54
    30 - 2026-09-19 14:11:59
    42 - 2026-09-19 14:16:06
    51 - 2026-09-19 14:22:48
    70 - 2026-09-19 14:31:05
    63 - 2026-09-19 14:48:00
    36 - 2026-09-19 14:53:32
    34 - 2026-09-19 14:58:53
    62 - 2026-09-19 15:07:36
    45 - 2026-09-19 15:17:04
    61 - 2026-09-19 15:27:20
    44 - 2026-09-19 15:36:13
    41 - 2026-09-19 15:44:29
Finish - 2026-09-19 15:52:38
