Participant card No: 25
Clear time: 2026-09-16 11:19:14
Record count 26
 Start - 2026-09-19 11:40:22
    55 - 2026-09-19 11:48:19
    50 - 2026-09-19 12:00:31
    72 - 2026-09-19 12:08:51
    35 - 2026-09-19 12:17:03
    53 - 2026-09-19 12:22:18
    33 - 2026-09-19 12:31:05
    32 - 2026-09-19 12:36:27
    40 - 2026-09-19 12:43:42
    46 - 2026-09-19 12:54:56
    60 - 2026-09-19 13:02:34
    52 - 2026-09-19 13:12:08
    54 - 2026-09-19 13:21:37
    71 - 2026-09-19 13:30:58
    31 - 2026-09-19 13:41:39
    43 - 2026-09-19 13:52:27
    30 - 2026-09-19 14:07:36
    42 - 2026-09-19 14:13:08
    51 - 2026-09-19 14:22:02
    70 - 2026-09-19 14:31:53
    63 - 2026-09-19 14:42:32
    36 - 2026-09-19 14:49:24
    34 - 2026-09-19 14:56:11
    62 - 2026-09-19 15:07:27
    41 - 2026-09-19 15:36:29
Finish - 2026-09-19 15:47:17
