Participant card No: 22
Clear time: 2026-09-16 11:21:43
Record count 23
 Start - 2026-09-19 11:54:50
    41 - 2026-09-19 12:04:30
    44 - 2026-09-19 12:13:23
    61 - 2026-09-19 12:24:45
    45 - 2026-09-19 12:32:59
    62 - 2026-09-19 12:42:37
    34 - 2026-09-19 12:56:30
    36 - 2026-09-19 13:04:12
    63 - 2026-09-19 13:27:22
    70 - 2026-09-19 13:39:43
    51 - 2026-09-19 13:49:18
    30 - 2026-09-19 14:09:21
    71 - 2026-09-19 14:21:56
    54 - 2026-09-19 14:33:58
    52 - 2026-09-19 14:43:48
    60 - 2026-09-19 14:54:19
    46 - 2026-09-19 15:01:22
    40 - 2026-09-19 15:15:45
    32 - 2026-09-19 15:23:48
    33 - 2026-09-19 15:30:04
    53 - 2026-09-19 15:40:08
    55 - 2026-09-19 15:49:35
Finish - 2026-09-19 15:55:43
