Participant card No: 74
Clear time: 2026-09-16 11:18:39
Record count 18
 Start - 2026-09-19 11:23:56
    55 - 2026-09-19 11:38:24
    50 - 2026-09-19 11:55:37
    72 - 2026-09-19 12:05:21
    35 - 2026-09-19 12:18:18
    53 - 2026-09-19 12:28:32
    33 - 2026-09-19 12:40:53
    32 - 2026-09-19 12:47:21
    40 - 2026-09-19 13:10:11
    46 - 2026-09-19 13:25:37
    54 - 2026-09-19 13:34:54
    52 - 2026-09-19 13:47:29
    60 - 2026-09-19 13:58:20
    44 - 2026-09-19 14:12:51
    61 - 2026-09-19 14:31:00
    45 - 2026-09-19 14:46:29
    62 - 2026-09-19 15:08:10
Finish - 2026-09-19 15:24:03
