Participant card No: 24
Clear time: 2026-09-16 11:23:31
Record count 26
 Start - 2026-09-19 11:40:26
    55 - 2026-09-19 11:48:22
    50 - 2026-09-19 12:00:32
    72 - 2026-09-19 12:08:54
    35 - 2026-09-19 12:17:07
    53 - 2026-09-19 12:22:24
    33 - 2026-09-19 12:31:14
    32 - 2026-09-19 12:36:36
    40 - 2026-09-19 12:43:56
    46 - 2026-09-19 12:55:03
    60 - 2026-09-19 13:02:50
    52 - 2026-09-19 13:12:05
    54 - 2026-09-19 13:21:42
    71 - 2026-09-19 13:31:07
    31 - 2026-09-19 13:41:54
    43 - 2026-09-19 13:52:34
    30 - 2026-09-19 14:07:50
    42 - 2026-09-19 14:13:10
    51 - 2026-09-19 14:22:15
    70 - 2026-09-19 14:31:58
    63 - 2026-09-19 14:42:39
    36 - 2026-09-19 14:49:19
    34 - 2026-09-19 14:56:14
    62 - 2026-09-19 15:07:31
    41 - 2026-09-19 15:36:39
Finish - 2026-09-19 15:47:04
