Participant card No: 10
Clear time: 2026-09-16 11:03:41
Record count 15
 Start - 2026-09-19 10:52:41
    46 - 2026-09-19 11:38:53
    60 - 2026-09-19 11:54:27
    52 - 2026-09-19 12:06:44
    30 - 2026-09-19 12:18:36
    42 - 2026-09-19 12:29:45
    51 - 2026-09-19 12:41:56
    70 - 2026-09-19 13:07:23
    63 - 2026-09-19 13:25:00
    36 - 2026-09-19 13:37:50
    34 - 2026-09-19 13:50:37
    45 - 2026-09-19 14:02:08
    44 - 2026-09-19 14:16:10
    41 - 2026-09-19 14:32:27
Finish - 2026-09-19 14:49:05
