Participant card No: 32
Clear time: 2026-09-16 11:17:14
Record count 23
 Start - 2026-09-19 11:49:06
    55 - 2026-09-19 11:58:57
    50 - 2026-09-19 12:14:04
    72 - 2026-09-19 12:21:56
    35 - 2026-09-19 12:32:35
    53 - 2026-09-19 12:40:07
    33 - 2026-09-19 12:52:04
    32 - 2026-09-19 12:58:11
    46 - 2026-09-19 13:11:57
    60 - 2026-09-19 13:34:53
    52 - 2026-09-19 13:43:46
    54 - 2026-09-19 13:52:56
    71 - 2026-09-19 14:03:33
    43 - 2026-09-19 14:14:17
    30 - 2026-09-19 14:27:27
    51 - 2026-09-19 14:37:42
    70 - 2026-09-19 14:52:01
    63 - 2026-09-19 15:03:42
    36 - 2026-09-19 15:13:37
    34 - 2026-09-19 15:20:28
    45 - 2026-09-19 15:28:23
    62 - 2026-09-19 15:38:27
Finish - 2026-09-19 15:51:12
