Participant card No: 4
Clear time: 2026-09-16 11:19:32
Record count 22
 Start - 2026-09-19 11:54:22
    55 - 2026-09-19 12:03:28
    50 - 2026-09-19 12:16:59
    72 - 2026-09-19 12:26:30
    35 - 2026-09-19 12:38:09
    53 - 2026-09-19 12:44:23
    33 - 2026-09-19 12:58:25
    32 - 2026-09-19 13:05:14
    40 - 2026-09-19 13:17:02
    46 - 2026-09-19 13:31:14
    60 - 2026-09-19 13:44:53
    52 - 2026-09-19 13:54:37
    54 - 2026-09-19 14:05:50
    71 - 2026-09-19 14:17:19
    43 - 2026-09-19 14:30:36
    30 - 2026-09-19 14:46:30
    51 - 2026-09-19 14:56:40
    36 - 2026-09-19 15:10:51
    34 - 2026-09-19 15:19:50
    45 - 2026-09-19 15:28:19
    62 - 2026-09-19 15:39:21
Finish - 2026-09-19 15:52:10
