Participant card No: 38
Clear time: 2026-09-16 11:19:22
Record count 18
 Start - 2026-09-19 11:27:38
    62 - 2026-09-19 11:44:23
    45 - 2026-09-19 11:59:31
    61 - 2026-09-19 12:12:21
    36 - 2026-09-19 12:28:46
    63 - 2026-09-19 12:38:28
    70 - 2026-09-19 12:51:31
    51 - 2026-09-19 13:09:30
    30 - 2026-09-19 13:20:50
    43 - 2026-09-19 13:33:16
    71 - 2026-09-19 13:45:08
    54 - 2026-09-19 14:05:37
    52 - 2026-09-19 14:17:28
    60 - 2026-09-19 14:37:21
    46 - 2026-09-19 14:47:00
    40 - 2026-09-19 15:02:44
    53 - 2026-09-19 15:17:37
Finish - 2026-09-19 15:30:30
