Participant card No: 69
Clear time: 2026-09-16 11:05:51
Record count 23
 Start - 2026-09-19 11:59:52
    32 - 2026-09-19 12:06:27
    41 - 2026-09-19 12:13:28
    44 - 2026-09-19 12:20:53
    61 - 2026-09-19 12:36:05
    45 - 2026-09-19 12:49:22
    62 - 2026-09-19 12:59:55
    34 - 2026-09-19 13:11:55
    36 - 2026-09-19 13:17:59
    63 - 2026-09-19 13:23:59
    70 - 2026-09-19 13:47:06
    51 - 2026-09-19 13:58:29
    42 - 2026-09-19 14:05:20
    30 - 2026-09-19 14:11:14
    52 - 2026-09-19 14:20:36
    60 - 2026-09-19 14:37:31
    46 - 2026-09-19 14:44:09
    54 - 2026-09-19 14:51:56
    71 - 2026-09-19 15:09:11
    31 - 2026-09-19 15:18:58
    64 - 2026-09-19 15:33:26
    33 - 2026-09-19 15:56:39
Finish - 2026-09-19 16:01:55
