Participant card No: 60
Clear time: 2026-09-16 11:19:57
Record count 17
 Start - 2026-09-19 11:35:26
    32 - 2026-09-19 11:43:50
    33 - 2026-09-19 11:50:15
    40 - 2026-09-19 12:02:54
    46 - 2026-09-19 12:14:59
    52 - 2026-09-19 12:46:25
    71 - 2026-09-19 13:12:39
    31 - 2026-09-19 13:33:50
    30 - 2026-09-19 13:56:43
    42 - 2026-09-19 14:03:41
    51 - 2026-09-19 14:11:41
    70 - 2026-09-19 14:24:39
    36 - 2026-09-19 14:53:46
    34 - 2026-09-19 15:08:21
    45 - 2026-09-19 15:15:26
    55 - 2026-09-19 15:35:28
Finish - 2026-09-19 15:40:29
