Participant card No: 48
Clear time: 2026-09-16 11:24:27
Record count 19
 Start - 2026-09-19 11:57:27
    55 - 2026-09-19 12:10:43
    50 - 2026-09-19 12:23:16
    72 - 2026-09-19 12:35:36
    35 - 2026-09-19 12:48:03
    53 - 2026-09-19 12:56:23
    40 - 2026-09-19 13:17:17
    46 - 2026-09-19 13:31:33
    54 - 2026-09-19 13:39:27
    71 - 2026-09-19 13:53:49
    43 - 2026-09-19 14:08:21
    42 - 2026-09-19 14:26:48
    30 - 2026-09-19 14:33:16
    51 - 2026-09-19 14:44:40
    61 - 2026-09-19 15:11:04
    41 - 2026-09-19 15:27:28
    32 - 2026-09-19 15:37:12
    33 - 2026-09-19 15:46:46
Finish - 2026-09-19 15:56:04
