Participant card No: 23
Clear time: 2026-09-16 11:07:49
Record count 16
 Start - 2026-09-19 11:45:14
    55 - 2026-09-19 11:56:22
    50 - 2026-09-19 12:09:53
    72 - 2026-09-19 12:22:15
    35 - 2026-09-19 12:35:59
    53 - 2026-09-19 12:45:15
    33 - 2026-09-19 13:01:23
    32 - 2026-09-19 13:09:12
    40 - 2026-09-19 13:20:58
    46 - 2026-09-19 13:40:49
    54 - 2026-09-19 13:55:55
    60 - 2026-09-19 14:16:07
    52 - 2026-09-19 14:27:58
    44 - 2026-09-19 14:42:54
    41 - 2026-09-19 15:26:45
Finish - 2026-09-19 15:43:41
