Participant card No: 57
Clear time: 2026-09-16 11:18:00
Record count 16
 Start - 2026-09-19 10:36:55
    55 - 2026-09-19 11:06:47
    50 - 2026-09-19 11:16:06
    72 - 2026-09-19 11:25:19
    35 - 2026-09-19 11:40:43
    53 - 2026-09-19 11:49:45
    33 - 2026-09-19 12:00:41
    32 - 2026-09-19 12:08:55
    46 - 2026-09-19 12:22:26
    54 - 2026-09-19 12:52:12
    60 - 2026-09-19 13:10:38
    52 - 2026-09-19 13:24:30
    30 - 2026-09-19 13:37:02
    51 - 2026-09-19 13:50:59
    70 - 2026-09-19 14:05:21
Finish - 2026-09-19 14:34:33
