Participant card No: 14
Clear time: 2026-09-16 11:16:02
Record count 18
 Start - 2026-09-19 10:55:48
    55 - 2026-09-19 11:05:22
    50 - 2026-09-19 11:19:15
    72 - 2026-09-19 11:28:48
    35 - 2026-09-19 11:39:05
    53 - 2026-09-19 11:47:05
    33 - 2026-09-19 11:59:01
    32 - 2026-09-19 12:05:42
    40 - 2026-09-19 12:14:32
    46 - 2026-09-19 12:36:10
    64 - 2026-09-19 12:54:44
    31 - 2026-09-19 13:04:16
    71 - 2026-09-19 13:16:07
    54 - 2026-09-19 13:29:37
    60 - 2026-09-19 13:57:12
    44 - 2026-09-19 14:20:17
    45 - 2026-09-19 14:34:23
Finish - 2026-09-19 14:59:49
