Participant card No: 27
Clear time: 2026-09-16 11:22:19
Record count 26
 Start - 2026-09-19 11:31:15
    62 - 2026-09-19 11:42:04
    45 - 2026-09-19 11:50:38
    44 - 2026-09-19 11:57:36
    61 - 2026-09-19 12:19:14
    34 - 2026-09-19 12:28:50
    36 - 2026-09-19 12:36:41
    63 - 2026-09-19 12:43:08
    70 - 2026-09-19 12:52:18
    51 - 2026-09-19 13:02:22
    42 - 2026-09-19 13:09:23
    30 - 2026-09-19 13:14:53
    43 - 2026-09-19 13:29:01
    52 - 2026-09-19 13:41:29
    54 - 2026-09-19 13:51:45
    71 - 2026-09-19 14:00:40
    31 - 2026-09-19 14:09:37
    64 - 2026-09-19 14:17:04
    46 - 2026-09-19 14:29:21
    40 - 2026-09-19 14:42:37
    32 - 2026-09-19 14:49:49
    33 - 2026-09-19 14:55:34
    53 - 2026-09-19 15:05:00
    35 - 2026-09-19 15:11:24
    55 - 2026-09-19 15:22:08
Finish - 2026-09-19 15:28:58
