Participant card No: 77
Clear time: 2026-09-16 11:22:52
Record count 23
 Start - 2026-09-19 11:29:36
    55 - 2026-09-19 11:38:05
    50 - 2026-09-19 11:45:41
    72 - 2026-09-19 11:52:28
    35 - 2026-09-19 12:01:50
    53 - 2026-09-19 12:08:22
    33 - 2026-09-19 12:16:44
    40 - 2026-09-19 12:28:36
    46 - 2026-09-19 12:38:43
    54 - 2026-09-19 12:51:15
    71 - 2026-09-19 13:08:05
    43 - 2026-09-19 13:20:18
    42 - 2026-09-19 13:39:05
    51 - 2026-09-19 13:46:34
    70 - 2026-09-19 14:00:15
    63 - 2026-09-19 14:13:24
    36 - 2026-09-19 14:21:41
    34 - 2026-09-19 14:30:03
    45 - 2026-09-19 14:37:41
    30 - 2026-09-19 14:55:10
    52 - 2026-09-19 15:06:18
    32 - 2026-09-19 15:17:18
Finish - 2026-09-19 15:23:22
