Participant card No: 11
Clear time: 2026-09-16 11:06:48
Record count 15
 Start - 2026-09-19 10:52:44
    46 - 2026-09-19 11:39:02
    60 - 2026-09-19 11:54:24
    52 - 2026-09-19 12:06:46
    30 - 2026-09-19 12:18:32
    42 - 2026-09-19 12:29:49
    51 - 2026-09-19 12:41:52
    70 - 2026-09-19 13:07:30
    63 - 2026-09-19 13:25:02
    36 - 2026-09-19 13:37:52
    34 - 2026-09-19 13:50:35
    45 - 2026-09-19 14:02:15
    44 - 2026-09-19 14:16:07
    41 - 2026-09-19 14:32:23
Finish - 2026-09-19 14:49:03
