Participant card No: 1
Clear time: 2026-09-16 11:22:00
Record count 15
 Start - 2026-09-19 11:18:47
    41 - 2026-09-19 11:32:37
    44 - 2026-09-19 11:42:06
    61 - 2026-09-19 12:03:00
    45 - 2026-09-19 12:17:32
    34 - 2026-09-19 12:26:31
    36 - 2026-09-19 12:38:12
    63 - 2026-09-19 12:55:52
    70 - 2026-09-19 13:15:05
    42 - 2026-09-19 13:34:43
    30 - 2026-09-19 14:11:32
    52 - 2026-09-19 14:27:07
    60 - 2026-09-19 14:56:17
    32 - 2026-09-19 15:11:28
Finish - 2026-09-19 15:21:29
