Participant card No: 62
Clear time: 2026-09-16 11:07:10
Record count 22
 Start - 2026-09-19 10:48:14
    55 - 2026-09-19 10:53:27
    50 - 2026-09-19 11:00:31
    72 - 2026-09-19 11:08:32
    35 - 2026-09-19 11:17:58
    53 - 2026-09-19 11:28:31
    33 - 2026-09-19 11:40:21
    40 - 2026-09-19 11:48:41
    31 - 2026-09-19 12:07:19
    64 - 2026-09-19 12:16:40
    71 - 2026-09-19 12:31:17
    43 - 2026-09-19 12:41:51
    42 - 2026-09-19 12:58:22
    70 - 2026-09-19 13:16:37
    63 - 2026-09-19 13:27:29
    36 - 2026-09-19 13:34:27
    34 - 2026-09-19 13:40:44
    62 - 2026-09-19 13:51:04
    61 - 2026-09-19 14:17:47
    30 - 2026-09-19 14:29:03
    52 - 2026-09-19 14:36:22
Finish - 2026-09-19 14:49:58
