Participant card No: 37
Clear time: 2026-09-16 11:18:34
Record count 18
 Start - 2026-09-19 11:27:34
    62 - 2026-09-19 11:44:19
    45 - 2026-09-19 11:59:25
    61 - 2026-09-19 12:12:24
    36 - 2026-09-19 12:28:36
    63 - 2026-09-19 12:38:22
    70 - 2026-09-19 12:51:21
    51 - 2026-09-19 13:09:32
    30 - 2026-09-19 13:20:45
    43 - 2026-09-19 13:33:10
    71 - 2026-09-19 13:45:00
    54 - 2026-09-19 14:05:33
    52 - 2026-09-19 14:17:18
    60 - 2026-09-19 14:37:07
    46 - 2026-09-19 14:47:05
    40 - 2026-09-19 15:02:40
    53 - 2026-09-19 15:17:30
Finish - 2026-09-19 15:30:31
