Participant card No: 68
Clear time: 2026-09-16 11:17:40
Record count 23
 Start - 2026-09-19 11:59:49
    32 - 2026-09-19 12:06:25
    41 - 2026-09-19 12:13:21
    44 - 2026-09-19 12:20:57
    61 - 2026-09-19 12:36:07
    45 - 2026-09-19 12:49:18
    62 - 2026-09-19 12:59:57
    34 - 2026-09-19 13:11:49
    36 - 2026-09-19 13:18:01
    63 - 2026-09-19 13:23:56
    70 - 2026-09-19 13:47:00
    51 - 2026-09-19 13:58:26
    42 - 2026-09-19 14:05:15
    30 - 2026-09-19 14:10:52
    52 - 2026-09-19 14:20:32
    60 - 2026-09-19 14:37:25
    46 - 2026-09-19 14:43:57
    54 - 2026-09-19 14:51:52
    71 - 2026-09-19 15:09:02
    31 - 2026-09-19 15:19:03
    64 - 2026-09-19 15:33:13
    33 - 2026-09-19 15:56:35
Finish - 2026-09-19 16:01:52
