Participant card No: 67
Clear time: 2026-09-16 11:07:34
Record count 27
 Start - 2026-09-19 11:39:31
    55 - 2026-09-19 11:47:05
    50 - 2026-09-19 11:57:43
    72 - 2026-09-19 12:05:13
    35 - 2026-09-19 12:18:54
    53 - 2026-09-19 12:24:50
    33 - 2026-09-19 12:33:24
    32 - 2026-09-19 12:39:00
    40 - 2026-09-19 12:44:51
    46 - 2026-09-19 12:54:50
    60 - 2026-09-19 13:01:36
    52 - 2026-09-19 13:11:56
    54 - 2026-09-19 13:20:52
    64 - 2026-09-19 13:38:52
    31 - 2026-09-19 13:46:30
    71 - 2026-09-19 13:56:41
    43 - 2026-09-19 14:04:42
    30 - 2026-09-19 14:14:13
    42 - 2026-09-19 14:18:48
    51 - 2026-09-19 14:26:23
    70 - 2026-09-19 14:51:01
    63 - 2026-09-19 15:01:56
    36 - 2026-09-19 15:09:37
    34 - 2026-09-19 15:15:59
    45 - 2026-09-19 15:22:57
    62 - 2026-09-19 15:33:43
Finish - 2026-09-19 15:45:24
