Participant card No: 72
Clear time: 2026-09-16 11:21:19
Record count 24
 Start - 2026-09-19 11:55:18
    55 - 2026-09-19 12:02:38
    50 - 2026-09-19 12:14:11
    72 - 2026-09-19 12:22:32
    35 - 2026-09-19 12:33:33
    53 - 2026-09-19 12:46:14
    33 - 2026-09-19 12:54:32
    32 - 2026-09-19 13:00:30
    40 - 2026-09-19 13:07:53
    46 - 2026-09-19 13:19:23
    60 - 2026-09-19 13:35:05
    52 - 2026-09-19 13:44:50
    54 - 2026-09-19 13:54:17
    71 - 2026-09-19 14:05:16
    43 - 2026-09-19 14:15:21
    30 - 2026-09-19 14:29:47
    42 - 2026-09-19 14:35:11
    51 - 2026-09-19 14:43:31
    70 - 2026-09-19 14:55:18
    63 - 2026-09-19 15:12:28
    36 - 2026-09-19 15:19:19
    34 - 2026-09-19 15:25:58
    45 - 2026-09-19 15:36:05
Finish - 2026-09-19 15:55:36
