Participant card No: 58
Clear time: 2026-09-16 11:20:12
Record count 16
 Start - 2026-09-19 10:36:48
    55 - 2026-09-19 11:06:41
    50 - 2026-09-19 11:16:03
    72 - 2026-09-19 11:25:16
    35 - 2026-09-19 11:40:39
    53 - 2026-09-19 11:49:34
    33 - 2026-09-19 12:00:30
    32 - 2026-09-19 12:08:45
    46 - 2026-09-19 12:22:34
    54 - 2026-09-19 12:52:10
    60 - 2026-09-19 13:10:31
    52 - 2026-09-19 13:24:20
    30 - 2026-09-19 13:36:57
    51 - 2026-09-19 13:51:04
    70 - 2026-09-19 14:05:07
Finish - 2026-09-19 14:34:25
