Participant card No: 16
Clear time: 2026-09-16 11:18:05
Record count 19
 Start - 2026-09-19 10:45:34
    41 - 2026-09-19 10:56:53
    44 - 2026-09-19 11:08:35
    45 - 2026-09-19 11:19:59
    34 - 2026-09-19 11:35:41
    36 - 2026-09-19 11:43:36
    63 - 2026-09-19 11:57:58
    70 - 2026-09-19 12:12:44
    51 - 2026-09-19 12:28:32
    42 - 2026-09-19 12:38:46
    30 - 2026-09-19 12:45:14
    43 - 2026-09-19 13:06:23
    71 - 2026-09-19 13:19:04
    54 - 2026-09-19 13:39:03
    46 - 2026-09-19 13:47:36
    40 - 2026-09-19 14:05:19
    32 - 2026-09-19 14:18:32
    33 - 2026-09-19 14:26:16
Finish - 2026-09-19 14:36:15
