Participant card No: 61
Clear time: 2026-09-16 11:22:34
Record count 23
 Start - 2026-09-19 11:59:05
    33 - 2026-09-19 12:07:38
    53 - 2026-09-19 12:15:14
    35 - 2026-09-19 12:25:45
    72 - 2026-09-19 12:43:29
    50 - 2026-09-19 12:55:26
    55 - 2026-09-19 13:05:41
    62 - 2026-09-19 13:21:47
    45 - 2026-09-19 13:35:39
    34 - 2026-09-19 13:42:44
    36 - 2026-09-19 13:50:04
    63 - 2026-09-19 13:59:20
    70 - 2026-09-19 14:14:30
    51 - 2026-09-19 14:26:38
    42 - 2026-09-19 14:36:32
    30 - 2026-09-19 14:43:14
    71 - 2026-09-19 15:05:16
    54 - 2026-09-19 15:18:16
    46 - 2026-09-19 15:24:08
    40 - 2026-09-19 15:36:35
    32 - 2026-09-19 15:44:49
    41 - 2026-09-19 15:52:20
Finish - 2026-09-19 16:00:10
