Participant card No: 44
Clear time: 2026-09-16 11:23:37
Record count 18
 Start - 2026-09-19 10:48:06
    55 - 2026-09-19 11:00:48
    50 - 2026-09-19 11:15:31
    72 - 2026-09-19 11:24:55
    35 - 2026-09-19 11:39:37
    53 - 2026-09-19 11:48:57
    33 - 2026-09-19 12:00:12
    32 - 2026-09-19 12:06:44
    40 - 2026-09-19 12:16:36
    46 - 2026-09-19 12:42:39
    64 - 2026-09-19 13:06:59
    31 - 2026-09-19 13:23:25
    71 - 2026-09-19 13:40:01
    54 - 2026-09-19 13:57:53
    52 - 2026-09-19 14:09:56
    60 - 2026-09-19 14:37:16
    41 - 2026-09-19 14:55:11
Finish - 2026-09-19 15:10:51
