Participant card No: 30
Clear time: 2026-09-16 11:24:12
Record count 23
 Start - 2026-09-19 11:42:32
    55 - 2026-09-19 11:49:49
    50 - 2026-09-19 12:01:12
    72 - 2026-09-19 12:08:24
    53 - 2026-09-19 12:19:32
    33 - 2026-09-19 12:30:18
    32 - 2026-09-19 12:41:54
    40 - 2026-09-19 12:54:44
    46 - 2026-09-19 13:10:03
    60 - 2026-09-19 13:17:38
    52 - 2026-09-19 13:27:09
    54 - 2026-09-19 13:36:21
    71 - 2026-09-19 13:46:36
    43 - 2026-09-19 13:58:04
    30 - 2026-09-19 14:14:36
    42 - 2026-09-19 14:19:20
    51 - 2026-09-19 14:27:01
    70 - 2026-09-19 14:55:12
    63 - 2026-09-19 15:12:23
    36 - 2026-09-19 15:18:54
    34 - 2026-09-19 15:26:03
    62 - 2026-09-19 15:39:30
Finish - 2026-09-19 15:51:43
