Participant card No: 78
Clear time: 2026-09-16 11:23:48
Record count 20
 Start - 2026-09-19 11:46:15
    62 - 2026-09-19 12:02:12
    45 - 2026-09-19 12:15:20
    61 - 2026-09-19 12:26:41
    34 - 2026-09-19 12:40:12
    36 - 2026-09-19 12:48:37
    63 - 2026-09-19 12:59:27
    70 - 2026-09-19 13:11:45
    51 - 2026-09-19 13:41:58
    30 - 2026-09-19 13:52:19
    43 - 2026-09-19 14:06:50
    71 - 2026-09-19 14:18:36
    54 - 2026-09-19 14:30:26
    52 - 2026-09-19 14:39:55
    60 - 2026-09-19 15:00:19
    46 - 2026-09-19 15:08:43
    40 - 2026-09-19 15:25:05
    32 - 2026-09-19 15:33:05
    33 - 2026-09-19 15:38:50
Finish - 2026-09-19 15:45:57
