Participant card No: 65
Clear time: 2026-09-16 11:22:06
Record count 26
 Start - 2026-09-19 11:38:58
    55 - 2026-09-19 11:44:28
    50 - 2026-09-19 11:51:43
    72 - 2026-09-19 12:07:14
    35 - 2026-09-19 12:14:36
    53 - 2026-09-19 12:19:52
    33 - 2026-09-19 12:28:21
    32 - 2026-09-19 12:33:26
    40 - 2026-09-19 12:43:09
    60 - 2026-09-19 12:59:30
    52 - 2026-09-19 13:11:32
    54 - 2026-09-19 13:30:23
    46 - 2026-09-19 13:35:36
    64 - 2026-09-19 13:45:56
    31 - 2026-09-19 13:54:58
    71 - 2026-09-19 14:05:23
    43 - 2026-09-19 14:15:38
    30 - 2026-09-19 14:31:23
    70 - 2026-09-19 14:45:03
    63 - 2026-09-19 14:56:58
    36 - 2026-09-19 15:02:43
    34 - 2026-09-19 15:09:21
    45 - 2026-09-19 15:17:02
    44 - 2026-09-19 15:29:30
    41 - 2026-09-19 15:36:34
Finish - 2026-09-19 15:45:15
