Participant card No: 20
Clear time: 2026-09-16 11:17:01
Record count 15
 Start - 2026-09-19 11:22:17
    55 - 2026-09-19 11:38:28
    50 - 2026-09-19 11:52:33
    72 - 2026-09-19 12:08:46
    35 - 2026-09-19 12:18:36
    53 - 2026-09-19 12:26:47
    33 - 2026-09-19 12:37:56
    32 - 2026-09-19 12:44:39
    40 - 2026-09-19 12:54:54
    46 - 2026-09-19 13:08:59
    52 - 2026-09-19 13:48:29
    54 - 2026-09-19 13:59:05
    30 - 2026-09-19 14:39:25
    45 - 2026-09-19 15:14:47
Finish - 2026-09-19 15:49:01
