Participant card No: 51
Clear time: 2025-09-26 23:22:05
Record count 17
 Start - 2025-10-04 11:03:58
    54 - 2025-10-04 11:19:44
    50 - 2025-10-04 11:30:03
    42 - 2025-10-04 11:44:04
    52 - 2025-10-04 11:53:05
    71 - 2025-10-04 12:07:04
    64 - 2025-10-04 12:15:54
    63 - 2025-10-04 12:26:49
    60 - 2025-10-04 12:39:11
    62 - 2025-10-04 12:57:49
    53 - 2025-10-04 13:09:02
    44 - 2025-10-04 13:17:25
    40 - 2025-10-04 13:23:19
    31 - 2025-10-04 13:30:46
    34 - 2025-10-04 13:37:28
    30 - 2025-10-04 13:43:55
Finish - 2025-10-04 13:56:33
