Participant card No: 53
Clear time: 2025-09-26 23:27:02
Record count 16
 Start - 2025-10-04 11:41:30
    34 - 2025-10-04 11:55:25
    31 - 2025-10-04 12:02:38
    40 - 2025-10-04 12:11:03
    33 - 2025-10-04 12:18:12
    43 - 2025-10-04 12:27:34
    61 - 2025-10-04 12:40:04
    62 - 2025-10-04 12:50:41
    53 - 2025-10-04 13:02:34
    44 - 2025-10-04 13:18:52
    51 - 2025-10-04 13:27:27
    32 - 2025-10-04 13:37:05
    63 - 2025-10-04 13:53:47
    50 - 2025-10-04 14:12:11
    54 - 2025-10-04 14:22:43
Finish - 2025-10-04 14:42:56
