Participant card No: 67
Clear time: 2025-09-26 23:18:52
Record count 18
 Start - 2025-10-04 10:52:29
    30 - 2025-10-04 11:08:58
    34 - 2025-10-04 11:20:36
    31 - 2025-10-04 11:29:22
    40 - 2025-10-04 11:37:40
    33 - 2025-10-04 11:44:26
    43 - 2025-10-04 11:53:20
    61 - 2025-10-04 12:03:37
    62 - 2025-10-04 12:11:13
    53 - 2025-10-04 12:23:55
    44 - 2025-10-04 12:33:15
    51 - 2025-10-04 12:43:47
    32 - 2025-10-04 12:51:54
    55 - 2025-10-04 13:05:16
    50 - 2025-10-04 13:15:33
    54 - 2025-10-04 13:26:32
    41 - 2025-10-04 13:36:21
Finish - 2025-10-04 13:52:15
