Participant card No: 16
Clear time: 2025-09-26 23:31:09
Record count 15
 Start - 2025-10-04 11:16:52
    50 - 2025-10-04 11:50:37
    42 - 2025-10-04 12:03:51
    52 - 2025-10-04 12:14:15
    71 - 2025-10-04 12:28:00
    64 - 2025-10-04 12:40:40
    63 - 2025-10-04 12:55:51
    60 - 2025-10-04 13:08:51
    32 - 2025-10-04 13:25:03
    51 - 2025-10-04 13:33:22
    44 - 2025-10-04 13:41:08
    40 - 2025-10-04 13:48:14
    33 - 2025-10-04 13:55:08
    34 - 2025-10-04 14:08:29
Finish - 2025-10-04 14:17:47
