Participant card No: 6
Clear time: 2025-09-26 23:48:36
Record count 15
 Start - 2025-10-04 11:58:36
    55 - 2025-10-04 12:21:18
    50 - 2025-10-04 12:30:59
    42 - 2025-10-04 12:41:10
    52 - 2025-10-04 12:58:54
    64 - 2025-10-04 13:13:05
    63 - 2025-10-04 13:30:20
    32 - 2025-10-04 13:51:47
    51 - 2025-10-04 14:02:02
    53 - 2025-10-04 14:12:34
    44 - 2025-10-04 14:21:15
    40 - 2025-10-04 14:28:14
    33 - 2025-10-04 14:35:55
    31 - 2025-10-04 14:47:52
Finish - 2025-10-04 14:58:50
