Participant card No: 18
Clear time: 2025-09-26 23:30:07
Record count 15
 Start - 2025-10-04 10:30:34
    34 - 2025-10-04 10:43:41
    31 - 2025-10-04 10:52:18
    40 - 2025-10-04 11:02:29
    43 - 2025-10-04 11:14:32
    61 - 2025-10-04 11:30:15
    62 - 2025-10-04 11:41:53
    53 - 2025-10-04 11:55:38
    44 - 2025-10-04 12:08:10
    51 - 2025-10-04 12:20:00
    55 - 2025-10-04 12:32:45
    50 - 2025-10-04 12:45:04
    54 - 2025-10-04 12:57:55
    41 - 2025-10-04 13:09:21
Finish - 2025-10-04 13:29:04
