Participant card No: 2
Clear time: 2025-09-26 23:50:17
Record count 15
 Start - 2025-10-04 11:50:24
    54 - 2025-10-04 12:01:38
    50 - 2025-10-04 12:14:00
    63 - 2025-10-04 12:27:10
    70 - 2025-10-04 12:36:44
    32 - 2025-10-04 12:44:23
    51 - 2025-10-04 12:49:51
    44 - 2025-10-04 12:58:15
    53 - 2025-10-04 13:07:39
    62 - 2025-10-04 13:14:26
    61 - 2025-10-04 13:20:15
    43 - 2025-10-04 13:27:27
    33 - 2025-10-04 13:34:08
    31 - 2025-10-04 13:42:47
Finish - 2025-10-04 13:49:34
