Participant card No: 70
Clear time: 2025-09-26 23:26:30
Record count 18
 Start - 2025-10-04 10:44:21
    54 - 2025-10-04 11:02:03
    50 - 2025-10-04 11:09:39
    42 - 2025-10-04 11:18:31
    52 - 2025-10-04 11:29:16
    71 - 2025-10-04 11:41:52
    64 - 2025-10-04 11:50:08
    63 - 2025-10-04 12:02:20
    60 - 2025-10-04 12:17:16
    70 - 2025-10-04 12:35:24
    62 - 2025-10-04 12:51:00
    53 - 2025-10-04 12:59:12
    44 - 2025-10-04 13:07:45
    40 - 2025-10-04 13:13:41
    33 - 2025-10-04 13:19:42
    31 - 2025-10-04 13:30:29
    34 - 2025-10-04 13:36:36
Finish - 2025-10-04 13:49:24
