Participant card No: 55
Clear time: 2025-09-26 23:35:21
Record count 18
 Start - 2025-10-04 10:33:22
    41 - 2025-10-04 10:48:37
    54 - 2025-10-04 10:59:13
    50 - 2025-10-04 11:09:09
    42 - 2025-10-04 11:18:52
    52 - 2025-10-04 11:31:20
    71 - 2025-10-04 11:48:10
    64 - 2025-10-04 11:58:03
    63 - 2025-10-04 12:11:15
    32 - 2025-10-04 12:23:17
    51 - 2025-10-04 12:31:37
    44 - 2025-10-04 12:38:08
    53 - 2025-10-04 12:43:58
    40 - 2025-10-04 12:54:11
    33 - 2025-10-04 13:00:33
    31 - 2025-10-04 13:10:24
    34 - 2025-10-04 13:16:11
Finish - 2025-10-04 13:24:35
