Participant card No: 8
Clear time: 2025-09-26 23:49:52
Record count 19
 Start - 2025-10-04 11:16:41
    54 - 2025-10-04 11:33:50
    50 - 2025-10-04 11:44:06
    42 - 2025-10-04 11:53:08
    52 - 2025-10-04 12:01:58
    71 - 2025-10-04 12:14:18
    64 - 2025-10-04 12:23:29
    63 - 2025-10-04 12:33:49
    60 - 2025-10-04 12:45:48
    70 - 2025-10-04 12:56:23
    62 - 2025-10-04 13:13:29
    53 - 2025-10-04 13:21:38
    44 - 2025-10-04 13:28:28
    51 - 2025-10-04 13:35:53
    55 - 2025-10-04 13:44:16
    40 - 2025-10-04 13:54:48
    33 - 2025-10-04 14:01:21
    31 - 2025-10-04 14:11:45
Finish - 2025-10-04 14:22:32
