Participant card No: 65
Clear time: 2025-09-26 23:27:19
Record count 19
 Start - 2025-10-04 12:04:11
    41 - 2025-10-04 12:18:54
    54 - 2025-10-04 12:27:50
    50 - 2025-10-04 12:35:17
    42 - 2025-10-04 12:44:48
    52 - 2025-10-04 12:53:33
    71 - 2025-10-04 13:05:35
    64 - 2025-10-04 13:15:49
    63 - 2025-10-04 13:29:19
    70 - 2025-10-04 13:46:05
    62 - 2025-10-04 14:00:26
    61 - 2025-10-04 14:08:06
    43 - 2025-10-04 14:19:50
    33 - 2025-10-04 14:29:55
    40 - 2025-10-04 14:35:17
    31 - 2025-10-04 14:42:30
    34 - 2025-10-04 14:48:36
    30 - 2025-10-04 14:54:49
Finish - 2025-10-04 15:04:20
