Participant card No: 13
Clear time: 2025-09-26 23:39:55
Record count 16
 Start - 2025-10-04 11:07:10
    41 - 2025-10-04 11:29:30
    54 - 2025-10-04 11:37:52
    50 - 2025-10-04 11:46:10
    42 - 2025-10-04 11:56:16
    64 - 2025-10-04 12:09:55
    63 - 2025-10-04 12:27:14
    32 - 2025-10-04 12:44:37
    51 - 2025-10-04 12:55:35
    44 - 2025-10-04 13:03:19
    40 - 2025-10-04 13:11:25
    33 - 2025-10-04 13:19:38
    31 - 2025-10-04 13:30:06
    34 - 2025-10-04 13:38:37
    30 - 2025-10-04 13:47:01
Finish - 2025-10-04 13:59:27
