Participant card No: 15
Clear time: 2025-09-26 23:34:51
Record count 17
 Start - 2025-10-04 11:14:02
    41 - 2025-10-04 11:27:28
    54 - 2025-10-04 11:36:35
    50 - 2025-10-04 11:45:55
    42 - 2025-10-04 11:56:33
    52 - 2025-10-04 12:04:44
    71 - 2025-10-04 12:18:51
    64 - 2025-10-04 12:30:10
    63 - 2025-10-04 12:45:01
    32 - 2025-10-04 12:56:53
    51 - 2025-10-04 13:03:46
    53 - 2025-10-04 13:12:16
    62 - 2025-10-04 13:21:47
    61 - 2025-10-04 13:28:41
    43 - 2025-10-04 13:39:10
    33 - 2025-10-04 13:48:49
Finish - 2025-10-04 14:17:17
