Participant card No: 63
Clear time: 2025-09-26 23:20:42
Record count 18
 Start - 2025-10-04 10:31:10
    34 - 2025-10-04 10:43:05
    31 - 2025-10-04 10:50:56
    40 - 2025-10-04 11:01:18
    44 - 2025-10-04 11:09:05
    53 - 2025-10-04 11:17:31
    62 - 2025-10-04 11:26:03
    51 - 2025-10-04 11:40:46
    32 - 2025-10-04 11:48:17
    60 - 2025-10-04 12:05:22
    63 - 2025-10-04 12:17:33
    64 - 2025-10-04 12:29:22
    71 - 2025-10-04 12:38:13
    52 - 2025-10-04 12:53:31
    42 - 2025-10-04 13:03:51
    50 - 2025-10-04 13:13:57
    54 - 2025-10-04 13:22:19
Finish - 2025-10-04 13:36:31
