Participant card No: 29
Clear time: 2025-09-26 23:35:35
Record count 18
 Start - 2025-10-04 11:59:00
    41 - 2025-10-04 12:14:30
    54 - 2025-10-04 12:23:35
    50 - 2025-10-04 12:31:43
    42 - 2025-10-04 12:47:11
    52 - 2025-10-04 12:56:22
    71 - 2025-10-04 13:09:34
    64 - 2025-10-04 13:18:18
    63 - 2025-10-04 13:29:32
    60 - 2025-10-04 13:45:14
    32 - 2025-10-04 14:00:56
    51 - 2025-10-04 14:08:27
    44 - 2025-10-04 14:16:20
    40 - 2025-10-04 14:23:20
    33 - 2025-10-04 14:30:30
    31 - 2025-10-04 14:39:29
    34 - 2025-10-04 14:45:51
Finish - 2025-10-04 14:55:31
