Participant card No: 62
Clear time: 2025-09-26 23:25:31
Record count 18
 Start - 2025-10-04 10:31:08
    34 - 2025-10-04 10:42:56
    31 - 2025-10-04 10:50:47
    40 - 2025-10-04 11:00:56
    44 - 2025-10-04 11:09:03
    53 - 2025-10-04 11:16:51
    62 - 2025-10-04 11:25:44
    51 - 2025-10-04 11:40:38
    32 - 2025-10-04 11:48:10
    60 - 2025-10-04 12:05:10
    63 - 2025-10-04 12:17:24
    64 - 2025-10-04 12:29:16
    71 - 2025-10-04 12:38:08
    52 - 2025-10-04 12:53:19
    42 - 2025-10-04 13:03:48
    50 - 2025-10-04 13:13:43
    54 - 2025-10-04 13:22:12
Finish - 2025-10-04 13:36:24
