Participant card No: 7
Clear time: 2025-09-26 23:48:52
Record count 15
 Start - 2025-10-04 12:03:50
    34 - 2025-10-04 12:20:39
    31 - 2025-10-04 12:27:57
    40 - 2025-10-04 12:37:22
    44 - 2025-10-04 12:45:09
    55 - 2025-10-04 12:57:38
    51 - 2025-10-04 13:10:47
    32 - 2025-10-04 13:21:41
    53 - 2025-10-04 13:36:25
    62 - 2025-10-04 13:45:06
    61 - 2025-10-04 13:58:04
    43 - 2025-10-04 14:12:51
    33 - 2025-10-04 14:25:06
    30 - 2025-10-04 14:43:19
Finish - 2025-10-04 14:56:26
