Participant card No: 21
Clear time: 2025-09-26 23:30:34
Record count 19
 Start - 2025-10-04 11:13:38
    34 - 2025-10-04 11:23:02
    31 - 2025-10-04 11:34:27
    40 - 2025-10-04 11:42:43
    43 - 2025-10-04 11:49:01
    61 - 2025-10-04 12:00:06
    53 - 2025-10-04 12:09:25
    62 - 2025-10-04 12:17:22
    70 - 2025-10-04 12:31:40
    60 - 2025-10-04 12:47:04
    63 - 2025-10-04 13:03:22
    64 - 2025-10-04 13:11:47
    71 - 2025-10-04 13:19:59
    52 - 2025-10-04 13:32:28
    42 - 2025-10-04 13:41:14
    50 - 2025-10-04 13:50:15
    54 - 2025-10-04 13:58:09
    41 - 2025-10-04 14:06:08
Finish - 2025-10-04 14:20:57
