Participant card No: 10
Clear time: 2025-09-26 23:40:43
Record count 15
 Start - 2025-10-04 11:45:32
    30 - 2025-10-04 11:57:21
    31 - 2025-10-04 12:17:05
    40 - 2025-10-04 12:29:48
    33 - 2025-10-04 12:38:49
    43 - 2025-10-04 12:46:39
    61 - 2025-10-04 12:59:57
    62 - 2025-10-04 13:11:11
    53 - 2025-10-04 13:21:45
    44 - 2025-10-04 13:28:49
    51 - 2025-10-04 13:37:32
    32 - 2025-10-04 13:48:01
    50 - 2025-10-04 14:18:04
    54 - 2025-10-04 14:29:18
Finish - 2025-10-04 14:47:50
