Participant card No: 66
Clear time: 2025-09-26 23:26:48
Record count 18
 Start - 2025-10-04 10:52:27
    30 - 2025-10-04 11:08:55
    34 - 2025-10-04 11:20:33
    31 - 2025-10-04 11:29:18
    40 - 2025-10-04 11:37:33
    33 - 2025-10-04 11:44:21
    43 - 2025-10-04 11:53:08
    61 - 2025-10-04 12:03:32
    62 - 2025-10-04 12:11:09
    53 - 2025-10-04 12:23:54
    44 - 2025-10-04 12:33:13
    51 - 2025-10-04 12:43:43
    32 - 2025-10-04 12:51:57
    55 - 2025-10-04 13:05:13
    50 - 2025-10-04 13:15:31
    54 - 2025-10-04 13:26:28
    41 - 2025-10-04 13:36:16
Finish - 2025-10-04 13:52:16
