Participant card No: 19
Clear time: 2025-09-26 23:30:20
Record count 16
 Start - 2025-10-04 10:43:21
    41 - 2025-10-04 11:01:00
    54 - 2025-10-04 11:09:51
    42 - 2025-10-04 11:24:31
    52 - 2025-10-04 11:35:15
    71 - 2025-10-04 11:50:12
    64 - 2025-10-04 12:01:08
    63 - 2025-10-04 12:14:01
    60 - 2025-10-04 12:30:39
    32 - 2025-10-04 12:47:24
    51 - 2025-10-04 12:57:18
    44 - 2025-10-04 13:07:27
    40 - 2025-10-04 13:15:00
    33 - 2025-10-04 13:24:31
    34 - 2025-10-04 13:39:20
Finish - 2025-10-04 13:50:59
