Participant card No: 50
Clear time: 2025-09-26 23:22:23
Record count 17
 Start - 2025-10-04 11:04:10
    54 - 2025-10-04 11:19:52
    50 - 2025-10-04 11:30:15
    42 - 2025-10-04 11:43:58
    52 - 2025-10-04 11:53:03
    71 - 2025-10-04 12:07:00
    64 - 2025-10-04 12:15:51
    63 - 2025-10-04 12:26:19
    60 - 2025-10-04 12:39:11
    62 - 2025-10-04 12:57:47
    53 - 2025-10-04 13:09:09
    44 - 2025-10-04 13:17:19
    40 - 2025-10-04 13:23:24
    31 - 2025-10-04 13:30:53
    34 - 2025-10-04 13:37:26
    30 - 2025-10-04 13:43:52
Finish - 2025-10-04 13:56:31
