Participant card No: 74
Clear time: 2025-09-26 23:24:45
Record count 19
 Start - 2025-10-04 12:04:06
    41 - 2025-10-04 12:18:48
    54 - 2025-10-04 12:27:47
    50 - 2025-10-04 12:35:11
    42 - 2025-10-04 12:44:46
    52 - 2025-10-04 12:53:28
    71 - 2025-10-04 13:05:40
    64 - 2025-10-04 13:15:45
    63 - 2025-10-04 13:29:11
    70 - 2025-10-04 13:46:01
    62 - 2025-10-04 14:00:28
    61 - 2025-10-04 14:08:08
    43 - 2025-10-04 14:19:48
    33 - 2025-10-04 14:29:59
    40 - 2025-10-04 14:35:20
    31 - 2025-10-04 14:42:35
    34 - 2025-10-04 14:48:39
    30 - 2025-10-04 14:54:43
Finish - 2025-10-04 15:04:16
