Participant card No: 17
Clear time: 2025-09-26 23:29:54
Record count 24
 Start - 2025-10-04 11:13:35
    30 - 2025-10-04 11:23:13
    34 - 2025-10-04 11:31:28
    31 - 2025-10-04 11:36:13
    40 - 2025-10-04 11:42:15
    33 - 2025-10-04 11:47:10
    43 - 2025-10-04 11:53:19
    61 - 2025-10-04 12:01:13
    62 - 2025-10-04 12:06:52
    53 - 2025-10-04 12:12:25
    44 - 2025-10-04 12:17:10
    55 - 2025-10-04 12:24:44
    51 - 2025-10-04 12:30:40
    32 - 2025-10-04 12:38:52
    70 - 2025-10-04 12:49:14
    60 - 2025-10-04 13:04:00
    63 - 2025-10-04 13:12:18
    64 - 2025-10-04 13:20:52
    71 - 2025-10-04 13:28:35
    52 - 2025-10-04 13:38:28
    42 - 2025-10-04 13:45:08
    50 - 2025-10-04 13:52:00
    54 - 2025-10-04 13:59:42
Finish - 2025-10-04 14:10:35
