Participant card No: 52
Clear time: 2025-09-26 23:31:22
Record count 16
 Start - 2025-10-04 11:41:33
    34 - 2025-10-04 11:55:22
    31 - 2025-10-04 12:02:34
    40 - 2025-10-04 12:10:57
    33 - 2025-10-04 12:18:02
    43 - 2025-10-04 12:27:27
    61 - 2025-10-04 12:40:01
    62 - 2025-10-04 12:50:42
    53 - 2025-10-04 13:02:31
    44 - 2025-10-04 13:18:49
    51 - 2025-10-04 13:27:29
    32 - 2025-10-04 13:37:00
    63 - 2025-10-04 13:53:44
    50 - 2025-10-04 14:12:05
    54 - 2025-10-04 14:22:38
Finish - 2025-10-04 14:42:57
