Participant card No: 54
Clear time: 2025-09-26 23:20:57
Record count 18
 Start - 2025-10-04 10:33:17
    41 - 2025-10-04 10:48:42
    54 - 2025-10-04 10:59:05
    50 - 2025-10-04 11:08:58
    42 - 2025-10-04 11:18:56
    52 - 2025-10-04 11:31:29
    71 - 2025-10-04 11:48:17
    64 - 2025-10-04 11:57:55
    63 - 2025-10-04 12:11:19
    32 - 2025-10-04 12:23:07
    51 - 2025-10-04 12:31:40
    44 - 2025-10-04 12:38:11
    53 - 2025-10-04 12:43:59
    40 - 2025-10-04 12:54:16
    33 - 2025-10-04 13:00:37
    31 - 2025-10-04 13:10:26
    34 - 2025-10-04 13:16:13
Finish - 2025-10-04 13:24:36
