Participant card No: 64
Clear time: 2025-09-26 23:20:24
Record count 19
 Start - 2025-10-04 12:04:08
    41 - 2025-10-04 12:18:56
    54 - 2025-10-04 12:27:54
    50 - 2025-10-04 12:35:13
    42 - 2025-10-04 12:44:52
    52 - 2025-10-04 12:53:24
    71 - 2025-10-04 13:05:42
    64 - 2025-10-04 13:15:51
    63 - 2025-10-04 13:29:15
    70 - 2025-10-04 13:45:58
    62 - 2025-10-04 14:00:31
    61 - 2025-10-04 14:08:10
    43 - 2025-10-04 14:19:53
    33 - 2025-10-04 14:29:51
    40 - 2025-10-04 14:35:25
    31 - 2025-10-04 14:42:33
    34 - 2025-10-04 14:48:41
    30 - 2025-10-04 14:54:46
Finish - 2025-10-04 15:04:26
