Participant card No: 76
Clear time: 2025-09-26 23:22:49
Record count 18
 Start - 2025-10-04 10:44:18
    54 - 2025-10-04 11:01:58
    50 - 2025-10-04 11:09:36
    42 - 2025-10-04 11:18:18
    52 - 2025-10-04 11:29:14
    71 - 2025-10-04 11:41:48
    64 - 2025-10-04 11:49:59
    63 - 2025-10-04 12:02:18
    60 - 2025-10-04 12:17:34
    70 - 2025-10-04 12:35:29
    62 - 2025-10-04 12:50:58
    53 - 2025-10-04 12:59:08
    44 - 2025-10-04 13:07:25
    40 - 2025-10-04 13:13:28
    33 - 2025-10-04 13:19:33
    31 - 2025-10-04 13:30:24
    34 - 2025-10-04 13:36:17
Finish - 2025-10-04 13:44:13
